date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-12,Miami Heat,Atlanta Hawks,1.28,4.4,Betfair
2026-04-12,Boston Celtics,Orlando Magic,7.0,1.17,Unibet (SE)
2026-04-12,Toronto Raptors,Brooklyn Nets,1.02,36.0,Betfair
2026-04-12,New York Knicks,Charlotte Hornets,7.6,1.15,Betfair
2026-04-12,Cleveland Cavaliers,Washington Wizards,1.22,5.6,1xBet
2026-04-12,Indiana Pacers,Detroit Pistons,9.1,1.11,Unibet (FR)
2026-04-12,Philadelphia 76ers,Milwaukee Bucks,1.1,10.5,Betfair
2026-04-13,Dallas Mavericks,Chicago Bulls,1.42,3.35,Betfair
2026-04-13,San Antonio Spurs,Denver Nuggets,1.22,5.5,Betfair
2026-04-13,Los Angeles Clippers,Golden State Warriors,1.6,2.64,Betfair
2026-04-13,Houston Rockets,Memphis Grizzlies,1.12,8.6,Betfair
2026-04-13,Los Angeles Lakers,Utah Jazz,1.14,8.0,1xBet
2026-04-13,Minnesota Timberwolves,New Orleans Pelicans,1.49,3.0,Betfair
2026-04-13,Oklahoma City Thunder,Phoenix Suns,1.36,3.8,1xBet
2026-04-13,Portland Trail Blazers,Sacramento Kings,1.07,14.0,Betfair
