PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,GP,Impact,Impact_Final
A.J. Lawson,TOR,8.8,3.9,1.7,0.3,22,8.35,1.28
AJ Green,MIL,28.8,9.9,2.7,1.9,76,23.55,3.62
AJ Johnson,DAL,8.9,2.8,1.2,1.0,46,7.93,1.22
Aaron Gordon,DEN,27.9,16.2,5.8,2.7,36,33.26,5.12
Aaron Holiday,HOU,13.7,5.5,1.0,1.1,55,12.059999999999999,1.86
Aaron Nesmith,IND,29.7,13.8,4.2,1.9,45,28.919999999999998,4.45
Aaron Wiggins,OKC,21.6,9.4,3.1,1.6,63,20.76,3.19
Ace Bailey,UTA,27.6,13.6,4.1,1.8,70,27.86,4.29
Adem Bona,PHI,17.4,4.9,4.3,0.4,69,14.16,2.18
Adou Thiero,LAL,5.9,1.7,1.0,0.3,23,4.720000000000001,0.73
Ajay Mitchell,OKC,25.8,13.6,3.3,3.6,57,29.380000000000003,4.52
Al Horford,GSW,21.7,8.3,5.0,2.6,43,22.71,3.49
Alex Caruso,OKC,18.2,6.2,2.8,2.0,56,16.9,2.6
Alex Sarr,WAS,27.2,16.3,7.4,2.7,48,34.43000000000001,5.3
Alijah Martin,TOR,6.1,2.2,1.0,0.5,22,5.58,0.86
Alperen Sengun,HOU,33.4,20.3,8.9,6.2,71,46.739999999999995,7.19
Amari Williams,BOS,6.5,1.3,1.9,0.4,21,5.37,0.83
Amen Thompson,HOU,37.3,18.0,7.8,5.3,78,43.379999999999995,6.67
Amir Coffey,PHX,10.1,2.8,1.2,0.5,44,7.539999999999999,1.16
Andre Drummond,PHI,19.3,6.2,8.3,1.2,61,20.43,3.14
Andre Jackson Jr.,MIL,7.9,2.3,1.4,0.9,46,7.14,1.1
Andrew Nembhard,IND,31.3,16.9,2.8,7.7,57,40.08,6.17
Andrew Wiggins,MIA,30.5,15.6,4.9,2.7,66,32.72,5.03
Anfernee Simons,CHI,24.9,14.3,2.5,2.4,55,27.369999999999997,4.21
Anthony Black,ORL,30.2,15.1,3.8,3.8,62,32.89999999999999,5.06
Anthony Davis,WAS,31.3,20.4,11.1,2.8,20,42.87,6.6
Anthony Edwards,MIN,35.2,28.9,5.0,3.7,60,49.010000000000005,7.54
Anthony Gill,WAS,16.7,5.6,2.8,1.3,53,14.799999999999999,2.28
Ariel Hukporti,NYK,8.8,1.9,2.8,0.5,52,7.529999999999999,1.16
Asa Newell,ATL,10.8,5.0,2.0,0.5,42,10.59,1.63
Ausar Thompson,DET,26.0,9.9,5.7,3.1,71,26.91,4.14
Austin Reaves,LAL,34.5,23.3,4.7,5.5,51,45.660000000000004,7.02
Ayo Dosunmu,MIN,27.3,14.8,3.5,3.6,68,31.190000000000005,4.8
